WOS relevance rank,Authors,Article Title,Source Title,Publication Year,Volume,Issue,DOI,Relevant? Y/N,micrlocfull,micrtax,otherPhenMicrLink,MicrobesAffectPhenology,manipulationtype,inoctype,phentrait,phentrait_of,anyeffect,SelectionOnPlantMeasured,FitnessComponent,RawDataAvailable,Notes
248,"Terrasson, E; Darrasse, A; Righetti, K; Buitink, J; Lalanne, D; Vu, BL; Pelletier, S; Bolingue, W; Jacques, MA; Leprince, O",Identification of a molecular dialogue between developing seeds of Medicago truncatula and seedborne xanthomonads,JOURNAL OF EXPERIMENTAL BOTANY,2015,66,13,10.1093/jxb/erv167,y,seed; shoot,bacteria,n,y,cutlure,strain,fruiting time,fruiting time,n,n,,,
44,"Petipas, RH; Wruck, AC; Geber, MA",Microbe-mediated local adaptation to limestone barrens is context dependent,ECOLOGY,2020,101,8,10.1002/ecy.3092,y,root,mixed,n,y,direct,community,germination prb,germination prb,y,almost,seedling survival,y,
129,"Shimura, H; Koda, Y",Enhanced symbiotic seed germination of Cypripedium macranthos var. rebunense following inoculation after cold treatment,PHYSIOLOGIA PLANTARUM,2005,123,3,10.1111/j.1399-3054.2005.00462.x,y,root,fungi,y,y,culture,strain,germination prb,germination prb,y,n,,n,
273,"Thrane, C; Nielsen, TH; Nielsen, MN; Sorensen, J; Olsson, S",Viscosinamide-producing Pseudomonas fluorescens DR54 exerts a biocontrol effect on Pythium ultimum in sugar beet rhizosphere,FEMS MICROBIOLOGY ECOLOGY,2000,33,2,10.1016/S0168-6496(00)00054-4,y,root,bacteria; fungi,n,y,culture,strain,germination prb,germination prb,y,n,,,
283,"David, AS; Thapa-Magar, KB; Afkhami, ME",Microbial mitigation-exacerbation continuum: a novel framework for microbiome effects on hosts in the face of stress,ECOLOGY,2018,99,3,10.1002/ecy.2153,y,root,mixed,n,y,direct,community,germination prb,germination prb,y,n,,,
382,"Shaik, SP; Thomas, P",In Vitro Activation of Seed-Transmitted Cultivation-Recalcitrant Endophytic Bacteria in Tomato and Host-Endophyte Mutualism,MICROORGANISMS,2019,7,5,10.3390/microorganisms7050132,y,seed; shoot,bacteria,n,y,culture,strain,germination prb,germination prb,y,n,,n,
383,"Sanchez-Lopez, AS; Pintelon, I; Stevens, V; Imperato, V; Timmermans, JP; Gonzalez-Chavez, C; Carrillo-Gonzalez, R; Van Hamme, J; Vangronsveld, J; Thijs, S",Seed Endophyte Microbiome of Crotalaria pumila Unpeeled: Identification of Plant-Beneficial Methylobacteria,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,2018,19,1,10.3390/ijms19010291,y,root; shoot; seed,bacteria,n,y,culture,strain,germination prb,germination prb,y,n,,n,
397,"Krauss, J; Harri, SA; Bush, L; Husi, R; Bigler, L; Power, SA; Muller, CB","Effects of fertilizer, fungal endophytes and plant cultivar on the performance of insect herbivores and their natural enemies",FUNCTIONAL ECOLOGY,2007,21,1,10.1111/j.1365-2435.2006.01216.x,y,root; shoot; reproductive; seed,fungi,n,y,observed,strain,germination prb,germination prb,y,n,,,
438,"HASNAIN, S; YASMIN, S; YASMIN, A",THE EFFECTS OF LEAD-RESISTANT PSEUDOMONADS ON THE GROWTH OF TRITICUM-AESTIVUM SEEDLINGS UNDER LEAD STRESS,ENVIRONMENTAL POLLUTION,1993,81,2,10.1016/0269-7491(93)90084-2,y,seed,bacteria,n,y,culture,strain,germination prb,germination prb,y,n,growth,n,
279,"Naveed, M; Mitter, B; Yousaf, S; Pastar, M; Afzal, M; Sessitsch, A",The endophyte Enterobacter sp FD17: a maize growth enhancer selected based on rigorous testing of plant beneficial traits and colonization characteristics,BIOLOGY AND FERTILITY OF SOILS,2014,50,2,10.1007/s00374-013-0854-y,y,root,bacteria,n,y,culture,strain,germination prb; flowering time,germination prb; flowering time,y,almost,yield,extractable,
36,"Viana, JS; Bruno, RLA; Mendonca, JL; Goncalves, EP; Alves, EU; Braga , JM","Precocity of soybean cultivars on cultivation systems with corn in Areia, Paraiba State",ACTA SCIENTIARUM-AGRONOMY,2009,31,3,10.4025/actasciagron.v31i3.675,y,seed,bacteria,n,y,culture,strain mix,germination time; flowering time; fruiting time,germination time; flowering time; fruiting time,y,n,,n,
268,"Gayathri, NK; Prasanna, KPR; Gowda, R","Effect of pre-sowing seed treatments on growth, yield and seed quality in soybean [Glycine max (L.) Merrill]",RESEARCH ON CROPS,2008,9,1,,y,root,bacteria; mixed,n,y,culture; removed,strain; community,germination time; flowering time; fruiting time,germination time; flowering time; fruiting time,y,unknown,yield,n,full-text inaccessible
68,"Gundel, PE; Maseda, PH; Ghersa, CM; Benech-Arnold, RL",Effects of the Neotyphodium endophyte fungus on dormancy and germination rate of Lolium multiflorum seeds,AUSTRAL ECOLOGY,2006,31,6,10.1111/j.1442-9993.2006.01638.x,y,root; shoot; reproductive; seed,fungi,n,y,removed,strain,germination time; germination prb,germination time; germination prb,y,n,germination rate,,
117,"Neil, KL; Tiller, RL; Faeth, SH",Big sacaton and endophyte-infected Arizona fescue germination under water stress,JOURNAL OF RANGE MANAGEMENT,2003,56,6,10.2307/4003936,y,root; shoot; reproductive; seed,fungi,n,y,removed,strain,germination time; germination prb,germination time; germination prb,n,n,,n,
119,"Kazenel, MR; Debban, CL; Ranelli, L; Hendricks, WQ; Chung, YA; Pendergast, TH; Charlton, ND; Young, CA; Rudgers, JA",A mutualistic endophyte alters the niche dimensions of its host plant,AOB PLANTS,2015,7,,10.1093/aobpla/plv005,y,seed,fungi,n,y,removed,strain,germination time; germination prb,germination time; germination prb,y,n,,n,
195,"Connolly, BM; Orrock, JL",Climatic variation and seed persistence: freeze-thaw cycles lower survival via the joint action of abiotic stress and fungal pathogens,OECOLOGIA,2015,179,2,10.1007/s00442-015-3369-4,y,root,fungi,y,y,removed,community,germination time; germination prb,germination time; germination prb,y,n,,n,
291,"Blanco, EL; Castro, Y; Olivo, A; Skwierinski, R; Barrios, FM",Germination and initial growth of bell pepper and lettuce inoculated with rhizobia and molecular identification of the strains,BIOAGRO,2018,30,3,,y,root,bacteria,n,y,culture,strain,germination time; germination prb,germination time; germination prb,y,n,,,
310,"Heinz, KM; Harding, PA; Ek-Ramos, MJ; Hernandez, H; Krauter, PC; Sword, GA",Fungal Endophytes in Knock Out (R) Rose and Performance Effects of Entomopathogens on Marigold and Zinnia,HORTSCIENCE,2018,53,12,10.21273/HORTSCI13370-18,y,seed; shoot,fungi,n,y,culture,strain,germination time; germination prb,germination time; germination prb,y,n,,n,
331,"Fernandes, EG; Valerio, HM; Duarte, KLR; Capuchinho, LMD; Fagundes, M",Fungi associated with Copaifera oblongifolia (Fabaceae) seeds: occurrence and possible effects on seed germination,ACTA BOTANICA BRASILICA,2019,33,1,10.1590/0102-33062018abb0100,y,seed,fungi,n,y,culture,strain,germination time; germination prb,germination time; germination prb,y,n,,,
332,"Enebak, SA; Wei, G; Kloepper, JW",Effects of plant growth-promoting rhizobacteria on loblolly and slash pine seedlings,FOREST SCIENCE,1998,44,1,,y,root,bacteria,n,y,culture,strain,germination time; germination prb,germination time; germination prb,y,almost,seedling survival but no link to trait data,n,
340,"Andrade, AD; Zoz, T; Zoz, A; Oliveira, CED; Witt, TW",Azospirillum brasilense inoculation methods in corn and sorghum,PESQUISA AGROPECUARIA TROPICAL,2019,49,,10.1590/1983-40632019v4953027,y,root; shoot; seed,bacteria,n,y,culture,strain,germination time; germination prb,germination time; germination prb,y,n,biomass,,
348,"HARTNETT, DC; SAMENUS, RJ; FISCHER, LE; HETRICK, BAD",PLANT DEMOGRAPHIC RESPONSES TO MYCORRHIZAL SYMBIOSIS IN TALLGRASS PRAIRIE,OECOLOGIA,1994,99,1-2,10.1007/BF00317079,y,root,fungi,n,y,removed,community,germination time; germination prb,germination time; germination prb,y,n,,n,
359,"Masangwa, JIG; Kritzinger, Q; Aveling, TAS",Germination and seedling emergence responses of common bean and cowpea to plant extract seed treatments,JOURNAL OF AGRICULTURAL SCIENCE,2017,155,1,10.1017/S0021859616000113,y,seed,fungi,n,y,culture; removed,strain; mixed,germination time; germination prb,germination time; germination prb,y,n,,,
380,"Fatemeh, A; Masoud, T; Pejman, A; Aidin, H",Effect of plant growth promoting rhizobacteria (PGPRs) and stratification on germination traits of Crataegus pseudoheterophylla Pojark. seeds,SCIENTIA HORTICULTURAE,2014,172,,10.1016/j.scienta.2014.03.049,y,seed,bacteria,n,y,culture,strain; strain mix,germination time; germination prb,germination time; germination prb,y,n,,,
398,"Cvjetkovic, B; Mataruga, M; Isajev, V; Levic, J; Lucic, A; Trkulja, V; Kremenovic, Z",VARIABILITY IN GERMINATION AND GERMINATION DYNAMICS OF DIFFERENTLY TREATED SEEDS OF SERBIAN SPRUCE (PICEA OMORIKA PANCIC/PURKYNE),GENETIKA-BELGRADE,2013,45,1,10.2298/GENSR1301109C,y,seed,fungi,n,y,removed,community,germination time; germination prb,germination time; germination prb,y,n,,,
444,"Balshor, BJ; Garrambone, MS; Austin, P; Balazs, KR; Weihe, C; Martiny, JBH; Huxman, TE; McCollum, JR; Kimball, S",The effect of soil inoculants on seed germination of native and invasive species,BOTANY,2017,95,5,10.1139/cjb-2016-0248,y,seed,bacteria; mixed,n,y,culture; direct,community; strain,germination time; germination prb,germination time; germination prb,y,n,germination success (survival),n,
456,"Piernik, A; Hrynkiewicz, K; Wojciechowska, A; Szymanska, S; Lis, MI; Muscolo, A",Effect of halotolerant endophytic bacteria isolated from Salicornia europaea L. on the growth of fodder beet (Beta vulgaris L.) under salt stress,ARCHIVES OF AGRONOMY AND SOIL SCIENCE,2017,63,10,10.1080/03650340.2017.1286329,y,root; seed,bacteria,n,y,culture,strain,germination time; germination prb,germination time; germination prb,y,almost,growth,n,
484,"Alimadadi, A; Jahansouz, MR; Besharati, H; Tavakkol-Afshari, R; Tavakkoli, M",Evaluating the effects of biofertilizers and seed priming on chickpea (Cicer arietinum L.) seed quality,JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,2011,9,2,,y,seed; root,MF; bacteria,n,y,culture,strain,germination time; germination prb,germination time; germination prb,y,unknown,,n,full text inaccessible
274,"Guimaraes, FAR; Pereira, MC; Felicio, CD; Torres, DP; Oliveira, SF; Veloso, TGR; Kasuya, MCM",Symbiotic propagation of seedlings of Cyrtopodium glutiniferum Raddi (Orchidaceae),ACTA BOTANICA BRASILICA,2013,27,3,10.1590/S0102-33062013000300016,y,root,MF,n,y,culture,strain,germination time; phyllochron,germination time; phyllochron,y,n,,,
120,"Bresson, J; Varoquaux, F; Bontpart, T; Touraine, B; Vile, D",The PGPR strain Phyllobacterium brassicacearum STM196 induces a reproductive delay and physiological changes that result in improved drought tolerance in Arabidopsis,NEW PHYTOLOGIST,2013,200,2,10.1111/nph.12383,y,root,bacteria,n,y,culture,strain,germination time; phyllochron; floral budset time; flowering time,germination time; phyllochron; other flowering event; flowering time,y,n,biomass only,n,
257,"Kalkal, M; Kumar, K; Waldia, RS; Dudeja, SS","Interaction of mesorhizobia, vesicular arbuscular mycorrhiza and different chickpea (Cicer arietinum L.) genotypes for nitrogen fixing and yield attributing traits",LEGUME RESEARCH,2018,41,4,10.18805/lr.v40i04.9005,y,root,bacteria; MF,n,y,culture,strain,peak flowering; fruiting time,other flowering event; fruiting time,y,almost,number of fruits,n,
199,"Colombo, RP; Ibarra, JG; Bidondo, LF; Silvani, VA; Bompadre, MJ; Pergola, M; Lopez, NI; Godeas, AM",Arbuscular Mycorrhizal Fungal Association in Genetically Modified Drought-Tolerant Corn,JOURNAL OF ENVIRONMENTAL QUALITY,2017,46,1,10.2134/jeq2016.04.0125,y,root,MF,n,y,direct,community,senescence time,senescence time,n,n,correlative only (manipulated plant genotype + drought treatment),,
5,"Mikaberidze, A; Paveley, N; Bonhoeffer, S; van den Bosch, F",Emergence of Resistance to Fungicides: The Role of Fungicide Dose,PHYTOPATHOLOGY,2017,107,5,10.1094/PHYTO-08-16-0297-R,n,,,n,n,,,,,,,,,
7,"Dombrowski, N; Schlaeppi, K; Agler, MT; Hacquard, S; Kemen, E; Garrido-Oter, R; Wunder, J; Coupland, G; Schulze-Lefert, P",Root microbiota dynamics of perennial Arabis alpina are dependent on soil residence time but independent of flowering time,ISME JOURNAL,2017,11,1,10.1038/ismej.2016.109,y,root,mixed,y,n,,,,,,,,,
